Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
31,R032,P.S. 32 - STATEN ISLAND,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,04/10/2018,08/08/2018,04/26/2018,4542,2266,2266.00,DSF: 0000868086
31,R032,P.S. 32 - STATEN ISLAND,SCA IEH,IEH PO18-MAIN OFFICE 219,Construction,In-Progress,03/14/2019,IEH,,IEH,500,0.00,DSF: 0000056808
31,R032,P.S. 32 - STATEN ISLAND,SCA IEH,"IEH PO18-ROOMS 311, 312, 309, 310, 307, 308, 305",Construction,Complete,10/10/2018,IEH,02/21/2019,IEH,159374,89.00,DSF: 0000054187
31,R034,I.S. 34 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,50000,50000,0.00,DSF: 0000890443
31,R034,I.S. 34 - STATEN ISLAND,Fast Track Projects,LSP REPLACE VACUUM CONDENSATE UNIT,Construction,In-Progress,09/20/2018,FTK,,FTK,348004,235113.00,DSF: 0000859939
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,MASONRY/WINDOWS/PARAPETS/ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,863825,863825,36989.00,"DSF: 0000035704, 0000882522, 0000889305, 0000890989"
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,"CM, F&E",In-Progress,04/25/2016,06/13/2018,,975305,1489536,1420270.00,"DSF: 0000776033, 0000792708"
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,99997,99997,16525.00,DSF: 0000792723
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,6144,6144,0.00,DSF: 0000912037
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,33148,33148,0.00,DSF: 0000912037
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,MASONRY/WINDOWS/PARAPETS/ROOFS,Construction,PNS,PNS,PNS,PNS,11911483,11911483,20676.00,"DSF: 0000035704, 0000882522, 0000889305, 0000890989"
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,Construction,In-Progress,04/25/2016,06/13/2018,,12612708,14168234,11798637.00,"DSF: 0000776033, 0000792708"
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,1607093,1607093,3635.00,DSF: 0000792723
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,In-Progress,03/25/2019,08/22/2019,,2572,2572,281.00,DSF: 0000912037
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,MASONRY/WINDOWS/PARAPETS/ROOFS,Design,In-Progress,08/31/2018,02/06/2019,,665007,700845,583951.00,"DSF: 0000035704, 0000882522, 0000889305, 0000890989"
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,08/11/2014,01/14/2015,02/13/2015,85712,107502,105386.00,DSF: 0000792723
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,Design,Complete,04/10/2014,10/10/2014,04/02/2015,718849,1878165,1566681.00,"DSF: 0000776033, 0000792708"
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,FULL PROGRAM ACCESSIBILITY/FIRE ALARM SYSTEM,Scope,Complete,06/27/2013,11/13/2013,11/13/2013,182123,168614,168441.00,"DSF: 0000776033, 0000792708"
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,MASONRY/WINDOWS/PARAPETS/ROOFS,Scope,Complete,06/23/2015,11/06/2015,12/08/2015,167806,269891,242510.00,"DSF: 0000035704, 0000882522, 0000889305, 0000890989"
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,03/18/2019,07/17/2019,03/25/2019,572,70,70.00,DSF: 0000912037
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,04/29/2014,08/13/2014,08/01/2014,21428,30579,30579.00,DSF: 0000792723
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A IPDVS CAMERA INSTALLATION,"CM, F&E",PNS,PNS,PNS,PNS,24000,24000,1399.00,DSF: 0000890706
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",In-Progress,06/25/2018,02/19/2019,,32060,45482,42009.00,DSF: 0000866380
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,352000,352000,0.00,DSF: 0000890706
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,In-Progress,06/25/2018,02/19/2019,,470214,492202,230003.00,DSF: 0000866380
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Design,Complete,03/01/2018,06/19/2018,05/01/2018,32060,33783,31690.00,DSF: 0000866380
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A IPDVS CAMERA INSTALLATION,Design,In-Progress,01/17/2019,06/17/2019,,24000,20871,12516.00,DSF: 0000890706
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A IPDVS CAMERA INSTALLATION,Scope,Complete,11/14/2018,03/19/2019,01/17/2019,0,3129,3129.00,DSF: 0000890706
31,R034,I.S. 34 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,Complete,01/12/2018,03/13/2018,02/28/2018,0,9726,9726.00,DSF: 0000866380
31,R035,P.S. 35 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/21/2019,DIIR,,120000,120000,119100.00,DSF: 0000889955
31,R035,P.S. 35 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/21/2019,DIIR,,68000,68000,67490.00,DSF: 0000890444
31,R036,P.S. 36 - STATEN ISLAND,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,07/13/2018,DIIR,11/07/2018,347373,347373,347373.00,DSF: 0000866596
31,R036,P.S. 36 - STATEN ISLAND,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,350000,350000,0.00,DSF: 0000844599
31,R036,P.S. 36 - STATEN ISLAND,Fast Track Projects,LSP STEAM AND CONDENSATE LINE,Construction,In-Progress,11/20/2017,FTK,,FTK,100701,95974.00,DSF: 0000867028
31,R036,P.S. 36 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000,0.00,DSF: 0000867295
31,R036,P.S. 36 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,934.00,DSF: 0000890707
31,R036,P.S. 36 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,440000,0.00,DSF: 0000890707
31,R036,P.S. 36 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,88000,88000,0.00,DSF: 0000867295
31,R036,P.S. 36 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,6000,6000,0.00,DSF: 0000867295
31,R036,P.S. 36 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,30000,18642,1721.00,DSF: 0000890707
31,R036,P.S. 36 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Scope,In-Progress,11/21/2018,03/27/2019,,0,11358,430.00,DSF: 0000890707
31,R036,P.S. 36 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000867295
31,R038,P.S. 38 - STATEN ISLAND,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,75000,75000,0.00,DSF: 0000845286
31,R038,P.S. 38 - STATEN ISLAND,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,74432,74432,0.00,DSF: 0000823185
31,R038,P.S. 38 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,110240,104000,104000.00,DSF: 0000866732
31,R038,P.S. 38 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,"CM, F&E",PNS,PNS,PNS,PNS,24000,24000,331.00,DSF: 0000890708
31,R038,P.S. 38 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,352000,352000,0.00,DSF: 0000890708
31,R038,P.S. 38 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,91520,91520,0.00,DSF: 0000866732
31,R038,P.S. 38 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,Design,In-Progress,01/30/2019,07/01/2019,,24000,26991,3635.00,DSF: 0000890708
31,R038,P.S. 38 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,6240,6240,0.00,DSF: 0000866732
31,R038,P.S. 38 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000866732
31,R038,P.S. 38 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,Complete,11/02/2018,03/25/2019,01/29/2019,0,8708,909.00,DSF: 0000890708
31,R039,P.S. 39 - STATEN ISLAND,DIIT - RESOA,FY14 RESO A IP SURVEILLANCE CAMERA,Purch & Install,PNS,PNS,PNS,PNS,250000,250000,0.00,DSF: 0000799345
31,R039,P.S. 39 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,120000,120000,0.00,DSF: 0000889957
31,R039,P.S. 39 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,75000,75000,0.00,DSF: 0000890446
31,R040,R373 SPED - STATEN ISLAND,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,250000,250000,0.00,DSF: 0000823395
31,R040,R373 SPED - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",In-Progress,01/07/2019,08/04/2019,,24000,22038,17977.00,DSF: 0000866356
31,R040,R373 SPED - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,18000,18000,0.00,DSF: 0000890718
31,R040,R373 SPED - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,In-Progress,01/07/2019,08/04/2019,,352000,221854,294.00,DSF: 0000866356
31,R040,R373 SPED - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,264000,264000,0.00,DSF: 0000890718
31,R040,R373 SPED - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,Complete,05/08/2018,10/09/2018,10/09/2018,24000,44455,37933.00,DSF: 0000866356
31,R040,R373 SPED - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,18000,9152,9152.00,DSF: 0000890718
31,R040,R373 SPED - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Scope,In-Progress,12/14/2018,04/18/2019,,0,10026,2288.00,DSF: 0000890718
31,R040,R373 SPED - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,Complete,01/23/2018,05/23/2018,04/23/2018,0,13825,13825.00,DSF: 0000866356
31,R041,P.S. 41 - STATEN ISLAND,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,74432,74432,0.00,DSF: 0000823186
31,R041,P.S. 41 - STATEN ISLAND,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,06/27/2018,DIIR,10/01/2018,74436,74436,74436.00,DSF: 0000867633
31,R041,P.S. 41 - STATEN ISLAND,DOE- RESOA,FY10 RESO A- FLOORS,Construction,PNS,PNS,PNS,PNS,25000,0,0.00,DSF: 0000754391
31,R041,P.S. 41 - STATEN ISLAND,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,2100,2100,0.00,DSF: 0000912386
31,R041,P.S. 41 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,17400,17400,360.00,DSF: 0000890709
31,R041,P.S. 41 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,255200,255200,0.00,DSF: 0000890709
31,R041,P.S. 41 - STATEN ISLAND,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,30800,30800,0.00,DSF: 0000912386
31,R041,P.S. 41 - STATEN ISLAND,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,2100,2100,0.00,DSF: 0000912386
31,R041,P.S. 41 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,In-Progress,03/12/2019,08/09/2019,,17400,8524,4306.00,DSF: 0000890709
31,R041,P.S. 41 - STATEN ISLAND,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000912386
31,R041,P.S. 41 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Scope,Complete,11/26/2018,03/29/2019,03/11/2019,0,8876,1077.00,DSF: 0000890709
31,R042,P.S. 42 - STATEN ISLAND,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,59008,59008,0.00,DSF: 0000823113
31,R042,P.S. 42 - STATEN ISLAND,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,74438,74438,0.00,DSF: 0000822578
31,R042,P.S. 42 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/28/2019,DIIR,,50000,50000,49624.00,DSF: 0000890447
31,R042,P.S. 42 - STATEN ISLAND,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,200000,200000,0.00,DSF: 0000844601
31,R042,P.S. 42 - STATEN ISLAND,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,06/14/2017,DOES,,DOES,27982,27982.00,DSF: 0000792840
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM, F&E",PNS,PNS,PNS,PNS,8142,8142,0.00,DSF: 0000912401
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,85027,85027,0.00,DSF: 0000912038
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,PNS,PNS,PNS,PNS,35132,35132,0.00,DSF: 0000912401
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,458750,458750,0.00,DSF: 0000912038
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,In-Progress,03/27/2019,08/26/2019,,35593,35593,963.00,DSF: 0000912038
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,In-Progress,03/22/2019,08/21/2019,,3317,3317,0.00,DSF: 0000912401
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,03/18/2019,07/17/2019,03/27/2019,7909,241,241.00,DSF: 0000912038
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP,LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,03/21/2019,07/22/2019,03/22/2019,905,0,0.00,DSF: 0000912401
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,43500,53503,8875.00,DSF: 0000866371
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,638000,784717,13340.00,DSF: 0000866371
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,Complete,02/28/2018,07/13/2018,12/14/2018,43500,51966,50735.00,DSF: 0000866371
31,R042,P.S. 42 - STATEN ISLAND,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,Complete,01/23/2018,04/23/2018,02/28/2018,0,23683,23683.00,DSF: 0000866371
31,R043,G MCCOWN EXPEDITIONARY LRNG SC,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/26/2019,DIIR,,200000,200000,198498.00,DSF: 0000889966
31,R043,G MCCOWN EXPEDITIONARY LRNG SC,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,250000,250000,0.00,DSF: 0000890463
31,R043,I.S./J.H.S. 63 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,Complete,02/04/2019,DIIR,03/15/2019,100000,100000,99248.00,DSF: 0000890461
31,R043,CSI HS FOR INTERNATIONAL STUDI,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,50000,50000,0.00,DSF: 0000890450
31,R043,CSI HS FOR INTERNATIONAL STUDI,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,99247,99247,0.00,DSF: 0000822565
31,R043,I.S./J.H.S. 63 - STATEN ISLAND,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,109007,109007,0.00,DSF: 0000823109
31,R043,CSI HS FOR INTERNATIONAL STUDI,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,06/07/2017,DIIR,,653264,653264,653264.00,DSF: 0000844586
31,R043,G MCCOWN EXPEDITIONARY LRNG SC,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,06/29/2018,DIIR,10/09/2018,49625,49625,49625.00,DSF: 0000867488
31,R043,G MCCOWN EXPEDITIONARY LRNG SC,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,07/13/2018,DIIR,10/09/2018,49625,49625,49625.00,DSF: 0000867531
31,R043,G MCCOWN EXPEDITIONARY LRNG SC,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,16463,16463,2168.00,DSF: 0000867204
31,R043,I.S./J.H.S. 63 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,700.00,DSF: 0000890715
31,R043,CSI HS FOR INTERNATIONAL STUDI,SCA CIP RESOA,FY18 RESO A ATHLETIC FIELDS,"CM, F&E",PNS,PNS,PNS,PNS,33066,612774,1650.00,DSF: 0000867209
31,R043,I.S./J.H.S. 63 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,440000,440000,0.00,DSF: 0000890715
31,R043,CSI HS FOR INTERNATIONAL STUDI,SCA CIP RESOA,FY18 RESO A ATHLETIC FIELDS,Construction,PNS,PNS,PNS,PNS,484970,8987350,3182.00,DSF: 0000867209
31,R043,G MCCOWN EXPEDITIONARY LRNG SC,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,241450,241450,107.00,DSF: 0000867204
31,R043,CSI HS FOR INTERNATIONAL STUDI,SCA CIP RESOA,FY18 RESO A ATHLETIC FIELDS,Design,PNS,PNS,PNS,PNS,33066,12219,333.00,DSF: 0000867209
31,R043,G MCCOWN EXPEDITIONARY LRNG SC,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,Complete,08/06/2018,12/21/2018,01/14/2019,16463,20980,2592.00,DSF: 0000867204
31,R043,I.S./J.H.S. 63 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Design,In-Progress,03/13/2019,08/12/2019,,30000,18886,743.00,DSF: 0000890715
31,R043,I.S./J.H.S. 63 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A AUDITORIUM UPGRADE,Scope,Complete,11/13/2018,03/19/2019,03/12/2019,0,11114,186.00,DSF: 0000890715
31,R043,G MCCOWN EXPEDITIONARY LRNG SC,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,Complete,04/20/2018,08/21/2018,07/26/2018,0,7184,7184.00,DSF: 0000867204
31,R043,CSI HS FOR INTERNATIONAL STUDI,SCA CIP RESOA,FY18 RESO A ATHLETIC FIELDS,Scope,Complete,01/12/2018,02/13/2018,03/08/2018,0,20847,20847.00,DSF: 0000867209
31,R044,P.S. 44 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,68000,68000,0.00,DSF: 0000890448
31,R044,P.S. 44 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,150000,150000,0.00,DSF: 0000889958
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,PLAY YARD PAVEMENT,"CM, F&E",PNS,PNS,PNS,PNS,81772,81772,25886.00,DSF: 0000888836
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,CERTIFICE OF OCCUPANCY/FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,390960,390960,2226.00,"DSF: 0000888891, 0000905516"
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,ELECTRICAL WORL FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,7286,7286,0.00,DSF: 0000911975
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,ELECTRICAL WORL FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,39312,39312,0.00,DSF: 0000911975
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,CERTIFICE OF OCCUPANCY/FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,3130174,3130174,0.00,"DSF: 0000888891, 0000905516"
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,PLAY YARD PAVEMENT,Construction,PNS,PNS,PNS,PNS,1314194,1314194,7333.00,DSF: 0000888836
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,PLAY YARD PAVEMENT,Design,Complete,05/15/2018,09/28/2018,10/03/2018,70090,74368,74315.00,DSF: 0000888836
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,CERTIFICE OF OCCUPANCY/FLOOD ELIMINATION,Design,In-Progress,12/06/2018,06/10/2019,,214490,214490,9973.00,"DSF: 0000888891, 0000905516"
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,ELECTRICAL WORL FOR A/C INITIATIVE,Design,In-Progress,03/15/2019,08/14/2019,,3050,3050,356.00,DSF: 0000911975
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,CERTIFICE OF OCCUPANCY/FLOOD ELIMINATION,Scope,Complete,03/06/2018,07/06/2018,08/15/2018,56106,39400,2494.00,"DSF: 0000888891, 0000905516"
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,PLAY YARD PAVEMENT,Scope,Complete,02/21/2018,05/21/2018,04/20/2018,17523,41109,40922.00,DSF: 0000888836
31,R044,P.S. 44 - STATEN ISLAND,SCA CIP,ELECTRICAL WORL FOR A/C INITIATIVE,Scope,Complete,03/04/2019,07/02/2019,03/15/2019,678,89,89.00,DSF: 0000911975
31,R045,P.S. 45 - STATEN ISLAND,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,68000,68000,0.00,DSF: 0000890449
31,R045,P.S. 45 - STATEN ISLAND,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,In-Progress,02/04/2019,DIIR,,280000,280000,277898.00,DSF: 0000867482
31,R045,P.S. 45 - STATEN ISLAND,DOE- RESOA,FY14 RESO A FENCING,Construction,In-Progress,08/28/2014,DOER,,109262,109262,109262.00,DSF: 0000798696
31,R045,P.S. 45 - STATEN ISLAND,DOE - Skilled Trades,EME- SOLAR PV DESIGN,Construction,In-Progress,02/15/2018,DOES,,DOES,65186,65186.00,DSF: 0000888928
31,R045,P.S. 45 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A PLAYGROUND UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,47758,47758,1686.00,DSF: 0000890710
31,R045,P.S. 45 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,700449,700449,0.00,DSF: 0000890710
31,R045,P.S. 45 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,30000,18758,1257.00,DSF: 0000890710
31,R045,P.S. 45 - STATEN ISLAND,SCA CIP RESOA,FY19 RESO A PLAYGROUND UPGRADE,Scope,Complete,10/12/2018,01/15/2019,02/28/2019,0,11242,314.00,DSF: 0000890710
